RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2020,geometry,Year,REGION,MANZANA,LOTE,SHAPE_AREA,ZONA,Categoria,Value
02 020 005,,132.0,GUERRERO NTE 210,0,HU,"MULTIPOLYGON (((-100.400913617017 25.66297102280489, -100.401201383988 25.6630637658037, -100.4011894307457 25.66309031979375, -100.4007913430244 25.6629606285472, -100.4008033861944 25.6629355785536, -100.400913617017 25.66297102280489)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 020,,254.0,MANUEL GONZALEZ 202,1,HU,"MULTIPOLYGON (((-100.4005364248699 25.66290039761128, -100.40050904369 25.66296160328985, -100.4005061205342 25.66296787375596, -100.4004927313164 25.66299762727175, -100.4003337129531 25.66294314766018, -100.4003915575583 25.662817242824, -100.4005482525294 25.66287355103994, -100.4005364248699 25.66290039761128)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 018,SAN PEDRO,192.0,MANUEL GONZALEZ INT-202-B,3,HU,"MULTIPOLYGON (((-100.4007668725418 25.66301376370928, -100.4007417689671 25.66306673015032, -100.4007355889588 25.66308068500954, -100.4006137673396 25.66303907417712, -100.4006450233767 25.66296979021371, -100.4006564470786 25.6629416778758, -100.4006595450064 25.66293371286151, -100.4006666942357 25.6629161161079, -100.4007913514831 25.66296062692214, -100.4007668725418 25.66301376370928)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 019,,191.0,MANUEL GONZALEZ INT 202A,2,HU,"MULTIPOLYGON (((-100.4006666969108 25.66291611399663, -100.4006595476815 25.66293371075023, -100.4006564497537 25.66294167576451, -100.4006450260518 25.66296978810243, -100.4006137700146 25.66303907206585, -100.400492728728 25.66299762997807, -100.4005061179458 25.66296787646229, -100.4005090411015 25.66296160599618, -100.400548249941 25.66287355374627, -100.4006566938994 25.66291261267338, -100.4006666969108 25.66291611399663)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 020,SAN PEDRO,203.0,MANUEL GONZALEZ 221,2,HU,"MULTIPOLYGON (((-100.4001720738217 25.66292357490746, -100.4002122960248 25.66293891851752, -100.4001704095523 25.66303429682206, -100.4000106692704 25.6629813050376, -100.400053785717 25.66287794442517, -100.4001720738217 25.66292357490746)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 008,,178.0,GUERRERO NTE 225,1,S,"MULTIPOLYGON (((-100.4010964873553 25.66286885665408, -100.4012629404774 25.6629268261093, -100.4012309321678 25.66299830402091, -100.4010420913909 25.66293599989752, -100.4010564162868 25.66289974806095, -100.4010579629651 25.66289557159739, -100.401071909472 25.66286024036157, -100.4010964873553 25.66286885665408)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 020 002,,339.0,GUERRERO NTE 206 B,1,HU,"MULTIPOLYGON (((-100.4010297068592 25.66293178099163, -100.4010420920502 25.6629360000537, -100.4012309328272 25.6629983041771, -100.401201383566 25.66306376293666, -100.4008033857724 25.66293557568656, -100.4008061909425 25.66292920054146, -100.4008347061303 25.66286847768275, -100.400835084522 25.66286755708109, -100.4008756748609 25.66288109830781, -100.400896885045 25.66288791303701, -100.4010297068592 25.66293178099163)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 009,,84.0,PORFIRIO DIAZ 349 INT,1,C,"MULTIPOLYGON (((-100.4010698142473 25.66286555692058, -100.4010579670011 25.66289557001476, -100.4010564203229 25.66289974647832, -100.401042095427 25.66293599831489, -100.4010297102359 25.66293177925281, -100.4009477131964 25.66290477525235, -100.4009788614609 25.66283253208419, -100.4010698142473 25.66286555692058)))",2011,,,,,Casco Urbano,COMERCIO,1
02 021 029,,206.0,REFORMA OTE 432,1,S,"MULTIPOLYGON (((-100.3995790732818 25.6627434397254, -100.3995124359907 25.66290596347973, -100.3994129580813 25.66287145577677, -100.3994807772771 25.66270737399843, -100.3995790732818 25.6627434397254)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 020 011,,183.0,P DIAZ OTE 325,1,C,"MULTIPOLYGON (((-100.4010000786432 25.66278382594953, -100.4010483878431 25.6626720214694, -100.4011343758141 25.66270089156705, -100.4010698133512 25.66286555014872, -100.4009788605649 25.66283252531232, -100.4010000786432 25.66278382594953)))",2011,,,,,Casco Urbano,COMERCIO,1
02 021 011,,140.0,M GONZALEZ 227 SAN PEDRO,1,HU,"MULTIPOLYGON (((-100.4002427756819 25.66286981561963, -100.4002122955738 25.66293891572299, -100.4000537852659 25.66287794163064, -100.4000811086045 25.66281176381266, -100.400128431344 25.66282866165184, -100.4001441427967 25.66283447120105, -100.4002427756819 25.66286981561963)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 002,,223.0,ZARAGOZA 222,1,S,"MULTIPOLYGON (((-100.3996917943546 25.66268954868239, -100.3995784273037 25.66292872950496, -100.3995124337887 25.6629059617493, -100.3995790710799 25.66274343799497, -100.3995820360663 25.66274452587469, -100.3996171377422 25.66266127440831, -100.3996387501048 25.66266921404058, -100.3996917943546 25.66268954868239)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 021 032,,199.0,REFORMA OTE 430,1,HU,"MULTIPOLYGON (((-100.3994807793794 25.66270737231702, -100.3994129601836 25.66287145409535, -100.399316335805 25.66283813539425, -100.399388348347 25.66267323755175, -100.3994807793794 25.66270737231702)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 013,,284.0,M GONZALEZ NTE 211,2,HU,"MULTIPOLYGON (((-100.4000811082539 25.66281175852527, -100.3999646546366 25.66276991929209, -100.4000011761757 25.66268831171626, -100.4002163156484 25.66277004441191, -100.4002377330966 25.66277795055771, -100.4002767445118 25.66279291780961, -100.4002427753313 25.66286981033225, -100.400144142446 25.66283446591367, -100.4001284309933 25.66282865636446, -100.4000811082539 25.66281175852527)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 017,SAN PEDRO,292.0,REFORMA 412,2,HU,"MULTIPOLYGON (((-100.3999646603455 25.66276991763927, -100.3998504799717 25.66302271986426, -100.3997850734472 25.66300014090969, -100.3998756882969 25.66279207285441, -100.3998816697182 25.66277776724954, -100.3999276814174 25.66267240389791, -100.3999322324326 25.66266223836311, -100.3999989922152 25.66268741410638, -100.4000011818846 25.66268831006344, -100.3999646603455 25.66276991763927)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 031,,337.0,REFORMA 418,1,HU,"MULTIPOLYGON (((-100.3999276829806 25.66267240297103, -100.3998816712814 25.66277776632266, -100.3998756898601 25.66279207192753, -100.3997850750104 25.66300013998282, -100.3997046271621 25.66297248559116, -100.3998476600458 25.66264446244119, -100.3998618453209 25.6626495460363, -100.3999276829806 25.66267240297103)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 004,,1131.0,P DIAZ OTE 349,1,HU,"MULTIPOLYGON (((-100.4007891952713 25.6627057154195, -100.4007051389973 25.66289342106399, -100.4004306026557 25.66279647721593, -100.4004277914467 25.66279562304378, -100.4004051282713 25.66278731393491, -100.4005369049976 25.66249896048734, -100.4008364204986 25.66260025805386, -100.4007891952713 25.6627057154195)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 020 017,,387.0,PORFIRIO DIAZ OTE 349,1,S,"MULTIPOLYGON (((-100.4009141353802 25.66269182231114, -100.4008350911953 25.66286754503611, -100.4008347128036 25.66286846563778, -100.4008061976159 25.66292918849648, -100.4007051365842 25.66289342610937, -100.4008364189261 25.66260026228449, -100.4009395833951 25.6626350436038, -100.4009141353802 25.66269182231114)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 021 033,,209.0,ZARAGOZA,2,HU,"MULTIPOLYGON (((-100.3995889694938 25.66265036865851, -100.3996061141632 25.66265686249641, -100.3996171394863 25.66266127106004, -100.3995820378104 25.66274452252641, -100.3993883457869 25.66267323415446, -100.3994258046333 25.6625885494125, -100.3994487893514 25.66259725063102, -100.3994626221145 25.66260226828819, -100.3995889694938 25.66265036865851)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 007,,292.0,ZARAGOZA NTE 218,1,HU,"MULTIPOLYGON (((-100.3996969521717 25.66259142639829, -100.3997322809882 25.6626042638549, -100.3996917939677 25.66268954199591, -100.3996387497179 25.6626692073541, -100.3996171373553 25.66266126772183, -100.3996061120322 25.66265685915821, -100.3994626199835 25.66260226495, -100.3994487872204 25.66259724729282, -100.3994258025023 25.66258854607431, -100.399461818218 25.66250598580956, -100.3996969521717 25.66259142639829)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 001,,340.0,PORFIRIO DIAZ OTE 407,2,S,"MULTIPOLYGON (((-100.4000910917803 25.66254008505409, -100.4000846910313 25.66255513531309, -100.4000730759196 25.66258049295709, -100.4000492450846 25.66257224727595, -100.3999989897099 25.66268740089451, -100.3999322299273 25.66266222515123, -100.4000689199684 25.6623476291716, -100.400164313216 25.66237884312756, -100.40009557567 25.66253083711054, -100.4000910917803 25.66254008505409)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 021 016,,163.0,PORFIRIO DIAZ 401,1,HU,"MULTIPOLYGON (((-100.4004125915047 25.66248300964597, -100.4003569091278 25.66260994407524, -100.400268860996 25.66257791916032, -100.4003307244937 25.66243378525137, -100.4004022913418 25.66245739817763, -100.4004125915047 25.66248300964597)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 021,,392.0,P DIAZ 421,2,HU,"MULTIPOLYGON (((-100.3998614362069 25.66257134717154, -100.3998821150627 25.66252600591134, -100.3999759085014 25.66231691980949, -100.4000689220126 25.66234762763519, -100.3999322319715 25.66266222361482, -100.3999276809563 25.66267238914963, -100.3998618432966 25.6626495322149, -100.3998402334051 25.6626418042043, -100.3998312482804 25.66263882207188, -100.3998475546265 25.66260226919444, -100.3998517293163 25.66259320056969, -100.3998614362069 25.66257134717154)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
02 021 026,,204.0,ZARAGOZA,1,S,"MULTIPOLYGON (((-100.3995706309248 25.6624675962112, -100.39972813395 25.6625256885535, -100.3996969524366 25.66259142348854, -100.3994618184829 25.66250598289982, -100.3994912941782 25.66243841451878, -100.3995160357469 25.66244773488226, -100.3995706309248 25.6624675962112)))",2011,,,,,Casco Urbano,SERVICIOS,1
02 021 022,,169.0,PORFIRIO DIAZ 403,2,HM,"MULTIPOLYGON (((-100.4002227828676 25.66243753500288, -100.400237751529 25.66240307571858, -100.4003307262593 25.66243378374471, -100.4002688627616 25.66257791765366, -100.4002624522774 25.66257547513302, -100.4001762002262 25.6625439619495, -100.4002227828676 25.66243753500288)))",2011,,,,,Casco Urbano,HABITACIONAL MULTIFAMILIAR,1
