RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2020,geometry,Year,REGION,MANZANA,LOTE,SHAPE_AREA,ZONA,Categoria,Value
09 009 133,SAN PEDRO,,PRIV LA VENTURA L8 M9,2,HU,"MULTIPOLYGON (((-100.3969984235931 25.66205022132892, -100.3970912699471 25.66192927491782, -100.3972946018412 25.66204499446821, -100.3973405296578 25.66207113313329, -100.3973492555146 25.66207609928341, -100.3973022282357 25.66213691377007, -100.3972559379707 25.66219677679631, -100.3972306258547 25.66218237112992, -100.397202108618 25.66216614166887, -100.3971911774834 25.66215992088102, -100.3971307724326 25.66212554312309, -100.3970596479009 25.66208506530356, -100.3969984235931 25.66205022132892)))",2020,09,009,133,498.075375353,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 057,,,CALZ SANTA BARBARA 260,2,HU,"MULTIPOLYGON (((-100.3921210087184 25.66229162452006, -100.3921719896782 25.66220481486683, -100.392273839034 25.66203138618549, -100.3923650224773 25.6618761182012, -100.3927529759989 25.66210291962688, -100.3924799378337 25.66249468558322, -100.3922568865637 25.66236849626681, -100.3922184463715 25.66234674919082, -100.3921728311861 25.66232094266604, -100.3921652410279 25.66231664883249, -100.3921210087184 25.66229162452006)))",2020,09,009,057,2293.911582651,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 086,,,P DIAZ,0,BU,"MULTIPOLYGON (((-100.3938515132533 25.66246395056044, -100.3939544701702 25.66231999941432, -100.3940957509287 25.66240255367527, -100.3941359862176 25.66242606444045, -100.3942112471307 25.66247004160093, -100.3941127731952 25.66260772578324, -100.3940312727793 25.66256287551593, -100.3938742537661 25.66247646551473, -100.3938515132533 25.66246395056044)))",2020,09,009,086,570.092322316,Casco Urbano,BALDIO URBANO,1
09 009 078,,,PORFIRIO DIAZ 1010,1,HU,"MULTIPOLYGON (((-100.3939798913009 25.66273233468301, -100.3937515900368 25.66260365902186, -100.3938515132533 25.66246395056044, -100.3938742537661 25.66247646551473, -100.3940312727793 25.66256287551593, -100.3941127731952 25.66260772578324, -100.3940110788452 25.66274991252763, -100.3939798913009 25.66273233468301)))",2020,09,009,078,570.617415871,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 071,,,AVE STA CATARINA INTERIOR,2,HM,"MULTIPOLYGON (((-100.3935358830031 25.66290525246044, -100.3937093107764 25.66266277303052, -100.3938034475061 25.66271554277198, -100.3938109925936 25.66272143681548, -100.393814198754 25.66272472330414, -100.3938197313313 25.662732231017, -100.3938236721091 25.66274052226499, -100.3938258893993 25.6627493238365, -100.3938291465942 25.6627578563561, -100.3938335701756 25.66276594526666, -100.3938390898908 25.66277346032433, -100.3938456156804 25.66278028140584, -100.3938530436447 25.66278629754871, -100.3938612521217 25.66279141240583, -100.3938701106317 25.66279554235435, -100.3938794739632 25.66279862196939, -100.3938891940843 25.66280060029876, -100.3938991112407 25.66280144636513, -100.3939090678804 25.66280114722747, -100.3939189016492 25.66279970533921, -100.3939284544504 25.66279714658753, -100.3939375723289 25.66279351036303, -100.3939445931207 25.66278978311511, -100.3939525504648 25.66278435225406, -100.393959684787 25.6627780516735, -100.3939658806983 25.6627709817901, -100.3939710369231 25.66276325733173, -100.3939750722234 25.6627550027661, -100.3939779194116 25.66274635145543, -100.3939795342839 25.66273744286239, -100.3939798913009 25.66273233468301, -100.3940110788452 25.66274991252763, -100.3937909629447 25.66305767072843, -100.3935358830031 25.66290525246044)))",2020,09,009,071,976.5501877515,Casco Urbano,HABITACIONAL MULTIFAMILIAR,1
09 009 087,,,P DIAZ,2,HU,"MULTIPOLYGON (((-100.3939544701702 25.66231999941432, -100.3940603088383 25.66217201920087, -100.3941307991874 25.66221320880189, -100.3941976345717 25.66225226280578, -100.3943170855954 25.66232206121187, -100.3942112471307 25.66247004160093, -100.3941359862176 25.66242606444045, -100.3940957509287 25.66240255367527, -100.3939544701702 25.66231999941432)))",2020,09,009,087,599.0881164798,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 003,,,SANTA BARBARA NTE 254,2,HU,"MULTIPOLYGON (((-100.3924799378337 25.66249468558322, -100.3927529759989 25.66210291962688, -100.3932481339587 25.66239239161182, -100.3930972214918 25.66260371459876, -100.3930916088536 25.66261117342928, -100.3930846104352 25.66261759907191, -100.3930764539225 25.66262278169541, -100.3930692509998 25.66262592558723, -100.3930596950873 25.66262847438104, -100.3930447649569 25.6626312234411, -100.3930358620735 25.6626352737768, -100.3930275375929 25.66264023318868, -100.3930199042939 25.66264603378875, -100.3930130648792 25.66265259785382, -100.3930071119542 25.66265983601983, -100.3930021260871 25.66266765181471, -100.3929981737854 25.66267593896925, -100.3929953095409 25.66268458591154, -100.3929935718443 25.66269347580543, -100.3929929832072 25.66270248835562, -100.3929935521747 25.66271150159447, -100.3929952713543 25.66272039370646, -100.3929981174474 25.66272904573632, -100.3930020512386 25.66273734068647, -100.3930070206052 25.66274516529396, -100.3930129575813 25.66275241457269, -100.3930197833173 25.66275898996054, -100.3930274041581 25.66276480477385, -100.393032286661 25.6627677258736, -100.3930127230446 25.66279610079229, -100.3924799378337 25.66249468558322)))",2020,09,009,003,2969.674104667,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 134,03,,STA BARBARA 242,1,HU,"MULTIPOLYGON (((-100.3945125316181 25.66156868775271, -100.3945399415925 25.66153002181874, -100.3946567655791 25.66136522521047, -100.394693888404 25.66131285853663, -100.3948342497566 25.66139745323746, -100.394934962457 25.66145815244663, -100.3946903486937 25.66180017120968, -100.3946656657978 25.66183468233466, -100.3946282454123 25.66176968368675, -100.3945125316181 25.66156868775271)))",2020,09,009,134,1208.20776124,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 058,,,C STA BARBARA,1,HU,"MULTIPOLYGON (((-100.3929582226505 25.66086600343017, -100.3929742120209 25.66083877585953, -100.3929863796737 25.66084770368673, -100.3930362831667 25.66088432142688, -100.3930980509189 25.66092964414672, -100.3931508401516 25.66096837859506, -100.3933218801549 25.66109388038753, -100.3932629676059 25.66118170600378, -100.3929964411768 25.66157903641497, -100.3929357657035 25.66154449603226, -100.3927174991599 25.66142024528437, -100.3926539758015 25.66138408333022, -100.3926612242347 25.66137174158823, -100.3928722581433 25.66101238565844, -100.3929582226505 25.66086600343017)))",2020,09,009,058,2784.713396664,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 002,,,CALZ SANTA BARBARA 254,1,HU,"MULTIPOLYGON (((-100.3925049568715 25.6617760852164, -100.3926764418335 25.66149168493166, -100.392969977385 25.66165613954069, -100.3929750792346 25.66165968062152, -100.392978126253 25.66166325034187, -100.3929801941372 25.66166734584298, -100.392981183969 25.66167177034252, -100.3929810351638 25.66167628245223, -100.3929796356352 25.66168092387057, -100.3927321395393 25.66202695948945, -100.3924628699315 25.66186954185126, -100.3924621797517 25.66186449783534, -100.3924627433917 25.66186053431846, -100.3925049568715 25.6617760852164)))",2020,09,009,002,1653.726587686,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
